id,neighbourhood_group_name,neighbourhood_Name
2132009,Far North District,Bay of Islands-Whangaroa Ward
2135339,Central Otago District,Maniototo Ward
2135469,Central Otago District,Maniototo Ward
2145864,Wellington City,Pukehīnau/Lambton Ward
2151049,Auckland,North Shore Ward
2152060,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2156580,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2156771,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2160739,Tasman District,Golden Bay Ward
2161371,Southland District,Stewart Island/Rakiura Ward
2161373,Queenstown-Lakes District,Arrowtown Ward
2165676,Taupo District,Taupō Ward
2166510,Auckland,Waitākere Ward
2171847,Auckland,Ōrākei Ward
2172003,Auckland,Ōrākei Ward
2177689,Marlborough District,Marlborough Sounds Ward
2178942,Christchurch City,Cashmere Ward
2182598,Auckland,North Shore Ward
2188989,Auckland,Ōrākei Ward
2198455,Kaipara District,Mangawhai-Kaiwaka Ward
2198521,Waimakariri District,Oxford-Ohoka Ward
2205450,Timaru District,Geraldine Ward
2210930,Auckland,Ōrākei Ward
2216652,Hastings District,Hastings-Havelock North Ward
2216806,Far North District,Kaikohe-Hokianga Ward
2218207,Taupo District,Turangi-Tongariro Ward
2228060,Central Otago District,Vincent Ward
2229256,Masterton District,Area Outside Ward
2229688,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2234183,Hurunui District,West Ward
2237562,Auckland,Waitematā and Gulf Ward
2238148,Christchurch City,Papanui Ward
2242355,Buller District,Westport Ward
2244126,Hauraki District,Paeroa Ward
2277850,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2279250,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2285496,Christchurch City,Banks Peninsula Ward
2298521,Far North District,Te Hiku Ward
2304838,Wellington City,Wharangi/Onslow-Western Ward
2314595,Far North District,Bay of Islands-Whangaroa Ward
2316262,Far North District,Te Hiku Ward
2324432,Ōpōtiki District,Waioeka-Waiotahi Ward
2326500,Wellington City,Motukairangi/Eastern Ward
2326667,Auckland,Albert-Eden-Puketāpapa Ward
2327415,Auckland,Ōrākei Ward
2331576,Whangarei District,Hikurangi-Coastal Ward
2332238,Queenstown-Lakes District,Arrowtown Ward
2332396,Whangarei District,Hikurangi-Coastal Ward
2333858,New Plymouth District,North Ward
2345572,Ashburton District,Western Ward
2346288,Rotorua District,Area Outside Ward
2352051,Christchurch City,Banks Peninsula Ward
2352266,Wellington City,Wharangi/Onslow-Western Ward
2356815,Taupo District,Turangi-Tongariro Ward
2357315,Auckland,North Shore Ward
2362657,Selwyn District,Selwyn Central Ward
2368682,Wellington City,Motukairangi/Eastern Ward
2380371,Auckland,Rodney Ward
2380582,Dunedin City,Area Outside Ward
2381272,Queenstown-Lakes District,Queenstown-Wakatipu Ward
